COUNTRY,CITY,RNUMBER(USEFUL??),PTYPE,BDAY,BMONTH,BYEAR,EDAY,EMONTH,EYEAR,ACTOR1,ACTOR2,ACTOR3,TARGET1,TARGET2,NPART,NDEATH,Deathdummy,ELOCAL,REPORTID1,REPORTID2,REPORTID3,COMMENT
Ghana,Accra,4,41,9,9,1962,9,9,1962,Terrorists,,,Government,,5,3,1,Near the President's residence,$#3A,,,"Three children were killed and a number of persons wounded in Accra on Sept. 9 when a bomb exploded near the President's residence during a demonstration celebrating Dr. Nkrumah's escape from the bomb attack in August. The outrage occurred among a crowd of some 2,000 people dancing in the street 200 yards from the entrance to Flagstaff House (the presidential residence); earlier in the day 20,000 people had taken part in demonstrations against the August attack and in support of the arrest of Mr. Adamafio, Mr. Adjei and Mr. Cofie-Crabbe. The Ghanaian Times alleged on Sept. 10 that the same group was responsible for the latest outrage as for that in August. A Ghana Army warrant officer, Edward Tetteh, committed suicide on Sept. 18 by jumping from a window in the Accra police headquarters, where he was held for questioning over the bomb attacks."
Ghana,Accra,5,61,12,9,1962,12,9,1962,Demonstrators,,,President Nkrumah,,5,0,0,Prison,$#3B,,,"On Sept. 12 some 20,000 people marched to the prison in which Mr. Adamafio and Mr. Adjei were held, demonstrated their support for President Nkrumah, and demanded the execution of the two ex-Ministers."
Ghana,Accra,6,41,20,9,1962,20,9,1962,99,,,Government,,99,7,1,99,$#3C,,,"Two bombs exploded in Accra on Sept. 20 during a torchlight procession held in connexion with celebrations for Dr. Nkrumah's birthday (Sept. 21); seven people were killed and many more injured, the remaining celebrations being immediately cancelled."
Ghana,Accra,7,41,22,9,1962,22,9,1962,99,,,Government,,99,0,0,99,$#3D,,,"A bomb explosion occurred in the centre of Accra on Sept. 22 without, however, causing any casualties."
Ghana,Accra,8,41,8,1,1963,8,1,1963,99,,,Government,,99,-99,0,Accra stadium,$#4B,,,"A bomb exploded in an Accra stadium on Jan. 8, 1963, shortly after the President had left a C.P.P. rally. Strong security forces, including armoured cars, were thrown round Flagstaff Rouse immediately after the attempt."
Ghana,Accra,9,31,2,1,1964,2,1,1964,Gunman,,,President Nkrumah,,1,0,0,Flagstaff House,$#4A,,,"A gunman unsuccessfully attempted to assassinate President Nkrumah in Accra on Jan. 2. The President was reported to have helped to overpower the gunman, shouting to security officers not to hurt or kill him."
Ghana,Accra,10,61,3,1,1964,3,1,1964,Demonstrators,,,President Nkrumah,,99,0,0,99,$#4C,,,"Mass demonstrations took place in Accra, Kumasi, and other centres celebrating the President's escape, demanding ""death for the assailants,"" and calling for stricter security measures."
Ghana,Accra,11,60,4,2,1964,4,2,1964,Demonstrators,,,US,,4,0,0,American Embassy,$#5A,,,"More than 1,000 people demonstrated on Feb. 4 outside the American Embassy in Accra, carrying placards with slogans such as ""Stop your lies and rumours,"" ""You killed Lumumba,"" and ""Down with Yankee imperialism."" Police were on duty during the demonstration and the crowd was generally orderly, although one group attempted to haul down the U.S. flag. "
Ghana,Accra,12,31,24,2,1966,25,2,1966,Major-General Joseph A. Ankrah,Army units,,Government,,99,27,1,99,$#6A,,,"Military coup. One of the coup leaders, Brigadier A. K. Ocran, said on March 7 that the action had been carried out by two brigades totalling 3,000 men, and that no more than 27 persons had lost their lives, including seven members of the Army and between 10 and 20 presidential guards at Flagstaff House."
Ghana,Accra,13,61,25,2,1966,25,2,1966,Demonstrators,Workers,Students,Government,,99,0,0,99,$#6B,,,"Enthusiastic popular demonstrations in favour of the new regime, and messages of support were received by the National Liberation Council from chiefs. Workers and students demonstrating in Accra, Kumasi, and other centres destroyed pictures of the ex-President; his statue in Accra was overthrown and broken up on Feb. 25."
Ghana,Accra,14,31,17,4,1967,17,4,1967,Army junior officers,,,Government,,99,>5,1,99,$#7A,,,Coup attempt by army junior officers. 
Ghana,Accra,15,60,17,4,1967,17,4,1967,Mourners,,,National Liberation Council,,99,0,0,99,$#7B,,,Thousands of mourners demonstrated in Accra to express their support for the National Liberation Council after the officially announce of the death of General Kotoka late on April 17.
Ghana,Accra,16,31,13,1,1972,13,1,1972,Lieut.-Colonel Ignatius Kutu Acheampong,,,Government,,99,0,0,99,$#8A,,,"Bloodless military coup led by Lieut.-Colonel Ignatius Kutu Acheampong, the acting commander of the 1st Brigade of the Ghana Army. Apart from some shooting near Christiansborg Castle, the seat of the Government, during the night of Jan. 12-13, Accra remained calm."
Ghana,Accra,17,60,9,6,1977,25,6,1977,The Ghana Medical Association,The Greater Accra branch of the Ghana Bar Association,,Government,,99,0,0,99,$#9A,,,"The Ghana Medical Association on June 16 called its second strike in a week to demand the reinstatement of the head of the Ghana Medical School and a leading surgeon, whose compulsory retirement as part of the reorganization was described as ""an act of victimization"". The two men were reinstated on the following day. The Greater Accra branch of the Ghana Bar Association (which had recently called for the early restoration of democratic government in Ghana) on June 17 initiated a strike by lawyers to protest against ""the recent dismissals by compulsory retirement of high-ranking officers of state and the manner of these dismissals, including in particular the failure to assign reasons for them"". A statement issued by the Bar Association on June 25 called upon the Government to hand over power to a ""presidential commission"" pending a return to civilian rule."
Ghana,Accra,18,31,99,6,1977,99,6,1977,Lieut.-Colonel George Minyila,Mr Attoh Quarshie,,Government,,99,0,0,Broadcasting house,$#9B,,,"Lieut.-Colonel George Minyila, a member of the NRC until his appointment as the armed forces' director of logistics in July 1976, had, together with Mr Attoh Quarshie (a businessman and former politician) and a number of other persons, been arrested following an attempt in the previous month to take over Broadcasting House in Accra as part of a plot to overthrow the Acheampong Government."
Ghana,Accra,19,61,13,1,1978,13,1,1978,Civilian supporters of military ,,,Opposition to union government,,99,0,0,99,$#10A,,,"Incidents in Accra in which ""the military's own civilian supporters were roaming in bands through the streets of the capital, intimidating anyone who dared declare his or her opposition to union government""."
Ghana,Accra,20,60,3,7,1980,3,7,1980,Militant students,,,UK and US,Nigeria,99,0,0,British and Nigerian high commissions and the US embassy,$#11A,,,"Militant students who favoured the continuation of ""revolutionary justice"" demonstrated in Accra outside the British and Nigerian high commissions and the US embassy (where the American flag was torn down) against ""unwarranted interference in the affairs of Ghana by those who have never shown any concern for the suffering of the country and who can have no understanding of the revolutionary process which is unfolding today"". "
Ghana,Accra,21,31,31,12,1981,31,12,1981,Supporters of Flt.-Lt. Jerry John Rawlings,,,Government,,99,30-70,1,99,$#12A,,,"Military coup. Some resistance to the coup among Accra-based military units was reported from the Ministry of Defence headquarters, the military training school and the 1st Infantry Brigade, which called for support from the 2nd Infantry Brigade in Takoradi. Resistance by the 1st Infantry Brigade was however overcome by about 6 p.m. on Dec.31, while reinforcements of 2nd Infantry Brigade troops loyal to the Limann Government were defeated about four hours later after being ambushed on the outskirts of Accra. Initial unofficial estimates of casualties during the coup were up to 70 dead and up to 400 wounded, although subsequent official statements implied that the death toll had been between 30 and 40.  "
Ghana,Accra,22,61,4,1,1982,4,1,1982,Demonstrators,,,PNDC,,99,0,0,99,$#12B,,,"Mass rallies and demonstrations which took place in Accra and elsewhere from Jan. 4 onwards in support of the PNDC were well attended, and the considerable personal popularity of Flt.-Lt. Rawlings was apparent to reporters attending rallies at which he spoke."
Ghana,Accra,23,31,19,6,1983,19,6,1983,Rebel group,,,Government,,99,26,1,Radio station,$#13C,,,"Coup attempt by a rebel group reportedly acting on orders from Lt.-Col. Ekow Dennis and Capt. Edward Adjei-Ampofo which seized the radio station in Accra. The radio station was recaptured by loyal troops after three hours of fighting during which 26 people, including some of the released detainees, were killed. "
Ghana,Accra,24,61,30,7,1983,30,7,1983,Demonstrators,,,ARPB ,Government,99,0,0,99,$#13A,,,"A demonstration against the ARPB and in support of the Government was held in Accra on July 30 under the auspices of the 'Organizing Committee for the Defence of the Revolution' (comprising representatives of PDCs, the TUC, workers' defence committees, Prelog and the June 4 Movement). Two masonic lodges were attacked and looted by the demonstrators, and the committee subsequently issued a press release claiming that human skulls had been found in the lodges."
